,ID,inchikey,sdftitle,order,set,CVfold,NR.AhR,NR.AR,NR.AR.LBD,NR.Aromatase,NR.ER,NR.ER.LBD,NR.PPAR.gamma,SR.ARE,SR.ATAD5,SR.HSE,SR.MMP,SR.p53
0,NCGC00178831-03,PEJLNXHANOHNSU-UHFFFAOYSA-N,NCGC00178831-03,0,training,4.0,,,,,,,,,,0.0,,
1,NCGC00166114-03,SEACYXSIPDVVMV-UHFFFAOYSA-L,NCGC00166114-03,1,training,,,,,,,,,,,0.0,,
2,NCGC00263563-01,WQGJEAMPBSZCIF-VEKNOCPUSA-N,NCGC00263563-01,2,training,4.0,,,,,,,,,,0.0,,
3,NCGC00013058-02,CNYGFPPAGUCRIC-UHFFFAOYSA-L,NCGC00013058-02,3,training,,,,,,,,,,,1.0,,
4,NCGC00167516-01,LYCYLGFSIXIXAB-NUZRHMIVSA-N,NCGC00167516-01,4,training,,,0.0,,,,,,,,,,
5,NCGC00018301-05,BFCDFTHTSVTWOG-UHFFFAOYSA-N,NCGC00018301-05,5,training,,,,,,,,,,,1.0,,
6,NCGC00249897-01,UEHLXXJAWYWUGI-UHFFFAOYSA-M,NCGC00249897-01,6,training,,,,,,,,,,,1.0,,
7,NCGC00016000-18,AUZONCFQVSMFAP-UHFFFAOYSA-N,NCGC00016000-18,7,training,,,,,,,,,,,1.0,,
8,NCGC00181091-01,PBYJDHRFPFHVKZ-UHFFFAOYSA-N,NCGC00181091-01,8,training,,,0.0,,,,,,,,,,
9,NCGC00094089-01,MTJLQTFHJIHXIX-GDUXWEAWSA-N,NCGC00094089-01,9,training,,,0.0,,,,,,,,,,
11,NCGC00263579-01,JWEXHQAEWHKGCW-BIISKSHESA-N,NCGC00263579-01,11,training,,,,,,,,,,,0.0,,
12,NCGC00095016-05,HQVZOORKDNCGCK-UHFFFAOYSA-N,NCGC00095016-05,12,training,,,,,,,,,0.0,,,,
13,NCGC00095192-05,IKBKZGMPCYNSLU-RGVLZGJSSA-N,NCGC00095192-05,13,training,,,,,,,,,0.0,,,,
14,NCGC00091258-05,VYWPPRLJNVHPEU-UHFFFAOYSA-N,NCGC00091258-05,14,training,,,,,,,,,1.0,,,,
15,NCGC00263656-01,LPMXVESGRSUGHW-HBYQJFLCSA-N,NCGC00263656-01,15,training,,,,,,,,,,,0.0,,
16,NCGC00166121-03,CXRFDZFCGOPDTD-UHFFFAOYSA-M,NCGC00166121-03,16,training,,,,,,,,,1.0,,,,
17,NCGC00257773-01,OJIYIVCMRYCWSE-UHFFFAOYSA-M,NCGC00257773-01,17,training,,,0.0,,,,,,,,,,
18,NCGC00091023-06,DVBJBNKEBPCGSY-UHFFFAOYSA-M,NCGC00091023-06,18,training,,,,,,,,,1.0,,,,
